usuario,filme,nota
Critico_Generoso_017,Goat (2016),4.5
Critico_Generoso_017,"Brood, The (1979)",5.0
Critico_Generoso_017,"Kingdom, The (2007)",5.0
Critico_Generoso_017,"Defiant Ones, The (1958)",5.0
Critico_Generoso_017,On the Waterfront (1954),4.0
Critico_Generoso_017,"Italian Job, The (2003)",5.0
Critico_Generoso_017,Guardians of the Galaxy (2014),5.0
Critico_Generoso_017,Night Flier (1997),4.5
Critico_Generoso_017,Return from Witch Mountain (1978),4.0
Critico_Generoso_017,"Substitute, The (1996)",4.5
Critico_Generoso_017,Romeo Is Bleeding (1993),4.0
Critico_Generoso_017,Audition (Ôdishon) (1999),4.5
Critico_Generoso_017,Starsky & Hutch (2004),4.5
Critico_Generoso_017,Out Cold (1989),4.0
Critico_Generoso_017,"New One-Armed Swordsman, The (Xin du bi dao) (1971)",4.0
Critico_Generoso_017,Storks (2016),4.0
Critico_Generoso_017,God Bless America (2011),3.5
Critico_Generoso_017,I Still Know What You Did Last Summer (1998),4.0
Critico_Generoso_017,White Man's Burden (1995),4.0
Critico_Generoso_017,Jonah: A VeggieTales Movie (2002),3.5
Critico_Generoso_017,"Kiss Me, Guido (1997)",5.0
Critico_Generoso_017,Tim's Vermeer (2013),3.5
Critico_Generoso_017,The Book of Life (2014),4.0
Critico_Generoso_017,Get Carter (2000),4.5
Critico_Generoso_017,"What Happened, Miss Simone? (2015)",4.5
Critico_Generoso_017,Apollo 18 (2011),4.5
Critico_Generoso_018,City Heat (1984),4.5
Critico_Generoso_018,Office Space (1999),4.5
Critico_Generoso_018,AVPR: Aliens vs. Predator - Requiem (2007),5.0
Critico_Generoso_018,"Wings of the Dove, The (1997)",4.5
Critico_Generoso_018,Bounce (2000),4.5
Critico_Generoso_018,Bronco Billy (1980),4.5
Critico_Generoso_018,Cyborg (1989),4.0
Critico_Generoso_018,Boat Trip (2003),4.0
Critico_Generoso_018,Hunt for the Wilderpeople (2016),4.5
Critico_Generoso_018,Something to Talk About (1995),5.0
Critico_Generoso_018,102 Dalmatians (2000),4.0
Critico_Generoso_018,Eraser (1996),4.5
Critico_Generoso_018,Sexy Beast (2000),4.0
Critico_Generoso_018,Take the Money and Run (1969),3.5
Critico_Generoso_018,Woman of the Year (1942),4.5
Critico_Generoso_018,The Longest Week (2014),5.0
Critico_Generoso_018,Fired Up (2009),4.0
Critico_Generoso_018,Blue Streak (1999),3.5
Critico_Generoso_018,Suture (1993),4.5
Critico_Generoso_018,Ali G Indahouse (2002),4.5
Critico_Generoso_018,Annie (1982),4.5
Critico_Generoso_018,"Great Day in Harlem, A (1994)",4.5
Critico_Generoso_018,Romance (1999),4.5
Critico_Generoso_018,How to Lose a Guy in 10 Days (2003),5.0
Critico_Generoso_018,Key Largo (1948),4.5
Critico_Generoso_018,Jules and Jim (Jules et Jim) (1961),4.5
Critico_Generoso_018,I Now Pronounce You Chuck and Larry (2007),3.5
Critico_Generoso_018,"Lords of Flatbush, The (1974)",5.0
Critico_Generoso_018,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),4.0
Critico_Generoso_018,"Crying Game, The (1992)",4.5
Critico_Generoso_019,Blackadder Back & Forth (1999),3.5
Critico_Generoso_019,Milagro Beanfield War (1988),4.5
Critico_Generoso_019,"Nightmare on Elm Street 4: The Dream Master, A (1988)",4.0
Critico_Generoso_019,Ruthless People (1986),4.0
Critico_Generoso_019,No Escape (1994),4.5
Critico_Generoso_019,"Dancer Upstairs, The (2002)",4.5
Critico_Generoso_019,Project X (2012),4.0
Critico_Generoso_019,At Middleton (2013),5.0
Critico_Generoso_019,Fun (1994),5.0
Critico_Generoso_019,Star Trek Beyond (2016),3.0
Critico_Generoso_019,Connections (1978),4.5
Critico_Generoso_019,Topsy-Turvy (1999),5.0
Critico_Generoso_019,Brooklyn (2015),4.5
Critico_Generoso_019,Friday the 13th Part 3: 3D (1982),4.0
Critico_Generoso_019,Born to Kill (1947),5.0
Critico_Generoso_019,"Last Days of Disco, The (1998)",5.0
Critico_Generoso_019,Transcendence (2014),4.0
Critico_Generoso_019,"Long Kiss Goodnight, The (1996)",3.5
Critico_Generoso_019,The Death of Stalin (2017),4.0
Critico_Generoso_019,Coco Before Chanel (Coco avant Chanel) (2009),4.5
Critico_Generoso_019,"Little Rascals, The (1994)",4.5
Critico_Generoso_019,Day & Night (2010),3.5
Critico_Generoso_019,30 Days of Night (2007),4.0
Critico_Generoso_019,Frequency (2000),5.0
Critico_Generoso_019,Themroc (1973),4.0
Critico_Generoso_019,Dragon ball Z 04: Lord Slug (1991),3.5
Critico_Generoso_019,"Great White Hype, The (1996)",4.5
Critico_Generoso_019,Rock School (2005),4.0
Critico_Generoso_019,Northmen - A Viking Saga (2014),4.0
Critico_Generoso_019,"Flamingo Kid, The (1984)",5.0
Critico_Generoso_020,Mannequin (1987),5.0
Critico_Generoso_020,Leviathan (2014),5.0
Critico_Generoso_020,Return of the Secaucus 7 (1980),3.5
Critico_Generoso_020,Van Helsing (2004),5.0
Critico_Generoso_020,"Seven Year Itch, The (1955)",4.5
Critico_Generoso_020,"Water Horse: Legend of the Deep, The (2007)",4.5
Critico_Generoso_020,Darkon (2006),4.0
Critico_Generoso_020,Crime Story (Zhong an zu) (1993),4.5
Critico_Generoso_020,Beetlejuice (1988),4.0
Critico_Generoso_020,Why We Fight (2005),4.5
Critico_Generoso_020,Halloween II (1981),4.5
Critico_Generoso_020,Nurse Betty (2000),5.0
Critico_Generoso_020,Gods and Generals (2003),4.5
Critico_Generoso_020,Drowning by Numbers (1988),4.0
Critico_Generoso_020,License to Wed (2007),5.0
Critico_Generoso_020,Blue Mountain State: The Rise of Thadland (2015),4.5
Critico_Generoso_020,Sugar & Spice (2001),4.5
Critico_Generoso_020,Elite Squad (Tropa de Elite) (2007),4.0
Critico_Generoso_020,"Masque of the Red Death, The (1964)",4.0
Critico_Generoso_020,Escape from L.A. (1996),4.5
Critico_Generoso_020,Doctor Who: Voyage Of The Damned (2007),4.0
Critico_Generoso_020,Tickling Giants (2017),5.0
Critico_Generoso_020,"Gauntlet, The (1977)",3.5
Critico_Generoso_020,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",5.0
Critico_Generoso_020,Night of the Lepus (1972),4.0
Critico_Generoso_020,Cherrybomb (2009),4.5
Critico_Generoso_020,Middle Men (2009),5.0
Critico_Generoso_020,Heartless (2009),4.5
Critico_Generoso_020,Detour (1945),5.0
Critico_Generoso_020,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),4.0
Critico_Generoso_021,Atlantic City (1980),3.5
Critico_Generoso_021,Hostel: Part II (2007),4.0
Critico_Generoso_021,Nothing in Common (1986),5.0
Critico_Generoso_021,All the Real Girls (2003),4.5
Critico_Generoso_021,"Little Mermaid, The (1989)",5.0
Critico_Generoso_021,Comedy Central Roast of James Franco (2013),3.5
Critico_Generoso_021,TMNT (Teenage Mutant Ninja Turtles) (2007),4.0
Critico_Generoso_021,Alvin and the Chipmunks (2007),4.0
Critico_Generoso_021,It Happened One Night (1934),4.5
Critico_Generoso_021,127 Hours (2010),4.5
Critico_Generoso_021,"Duchess, The (2008)",4.5
Critico_Generoso_021,"Postman Always Rings Twice, The (1946)",4.5
Critico_Generoso_021,Secret in Their Eyes (2015),5.0
Critico_Generoso_021,"Messenger: The Story of Joan of Arc, The (1999)",4.5
Critico_Generoso_021,To Grandmother's House We Go (1992),5.0
Critico_Generoso_021,Wild Orchid (1990),3.5
Critico_Generoso_021,New Kids Nitro (2011),3.5
Critico_Generoso_021,Pauline at the Beach (Pauline à la Plage) (1983),4.5
Critico_Generoso_021,Bill & Ted's Bogus Journey (1991),5.0
Critico_Generoso_021,Rapture-Palooza (2013),4.0
Critico_Generoso_021,D.O.A. (1988),4.0
Critico_Generoso_021,Dead Fury (2008),4.0
Critico_Generoso_021,Horns (2014),4.5
Critico_Generoso_021,"Flintstones, The (1994)",4.0
Critico_Generoso_021,Candleshoe (1977),4.0
Critico_Generoso_021,"Girl Walks Home Alone at Night, A (2014)",4.0
Critico_Generoso_021,"Mummy, The (1959)",4.5
Critico_Generoso_021,Cosmic Scrat-tastrophe (2015),4.0
Critico_Generoso_021,Nobody Knows (Dare mo shiranai) (2004),4.5
Critico_Generoso_021,Surviving the Game (1994),4.0
Critico_Generoso_022,Trailer Park Boys (1999),4.0
Critico_Generoso_022,Stanley Kubrick: A Life in Pictures (2001),4.5
Critico_Generoso_022,Get Carter (1971),4.5
Critico_Generoso_022,Pirates of Silicon Valley (1999),4.5
Critico_Generoso_022,Dreamer: Inspired by a True Story (2005),5.0
Critico_Generoso_022,"Stepford Wives, The (2004)",5.0
Critico_Generoso_022,Bloodsucking Bastards (2015),3.5
Critico_Generoso_022,Jarhead (2005),4.5
Critico_Generoso_022,The Hero (2017),4.5
Critico_Generoso_022,In the Mood For Love (Fa yeung nin wa) (2000),5.0
Critico_Generoso_022,Car Wash (1976),4.0
Critico_Generoso_022,Flying Tigers (1942),4.0
Critico_Generoso_022,Me Him Her (2015),4.5
Critico_Generoso_022,Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),4.5
Critico_Generoso_022,Wagons East (1994),5.0
Critico_Generoso_022,Visitor Q (Bizita Q) (2001),5.0
Critico_Generoso_022,"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",5.0
Critico_Generoso_022,Jeff Ross Roasts the Border (2017),4.5
Critico_Generoso_022,Junior (1994),4.5
Critico_Generoso_022,Body Snatchers (1993),4.0
Critico_Generoso_022,Man Trouble (1992),4.0
Critico_Generoso_022,In Time (2011),4.0
Critico_Generoso_022,"Client, The (1994)",5.0
Critico_Generoso_022,The Madagascar Penguins in a Christmas Caper (2005),4.0
Critico_Generoso_022,"Education, An (2009)",4.0
Critico_Generoso_022,R.I.P.D. (2013),5.0
Critico_Generoso_022,Johnny English (2003),4.5
Critico_Generoso_022,Premium Rush (2012),4.5
Critico_Generoso_022,"Boxer, The (1997)",3.0
Critico_Generoso_022,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0
Critico_Generoso_023,Tales from the Crypt Presents: Bordello of Blood (1996),4.5
Critico_Generoso_023,Puss in Boots (Nagagutsu o haita neko) (1969),4.5
Critico_Generoso_023,Cabin Fever (2002),4.0
Critico_Generoso_023,Chapayev (1934),4.0
Critico_Generoso_023,Raiders of the Lost Ark: The Adaptation (1989),3.5
Critico_Generoso_023,"Guns of Navarone, The (1961)",4.5
Critico_Generoso_023,They Came Together (2014),5.0
Critico_Generoso_023,Show Boat (1951),5.0
Critico_Generoso_023,Tom and Jerry: Shiver Me Whiskers (2006),4.5
Critico_Generoso_023,Spirit: Stallion of the Cimarron (2002),4.5
Critico_Generoso_023,Runaway Bride (1999),5.0
Critico_Generoso_023,"Virgin Suicides, The (1999)",5.0
Critico_Generoso_023,Birthday Girl (2001),4.5
Critico_Generoso_023,Butterfly (La lengua de las mariposas) (1999),4.0
Critico_Generoso_023,Cecil B. DeMented (2000),3.0
Critico_Generoso_023,Boyz N the Hood (1991),5.0
Critico_Generoso_023,It's All Gone Pete Tong (2004),5.0
Critico_Generoso_023,Saw VII 3D - The Final Chapter (2010),4.5
Critico_Generoso_023,Harriet the Spy (1996),4.0
Critico_Generoso_023,"Vanishing, The (1993)",4.5
Critico_Generoso_023,"Last Temptation of Christ, The (1988)",4.5
Critico_Generoso_023,House of Games (1987),4.0
Critico_Generoso_023,Maya Lin: A Strong Clear Vision (1994),5.0
Critico_Generoso_023,Dallas Buyers Club (2013),4.0
Critico_Generoso_023,10 Cloverfield Lane (2016),4.0
Critico_Generoso_023,My Best Friend's Girl (2008),4.0
Critico_Generoso_023,Appleseed (Appurushîdo) (2004),5.0
Critico_Generoso_023,Under the Tuscan Sun (2003),3.5
Critico_Generoso_023,Poolhall Junkies (2002),4.5
Critico_Generoso_023,Ghost in the Shell (2017),4.5
Critico_Generoso_024,Ghost World (2001),4.5
Critico_Generoso_024,If Looks Could Kill (1991),4.5
Critico_Generoso_024,Beyond the Sea (2004),4.0
Critico_Generoso_024,The Madagascar Penguins in a Christmas Caper (2005),3.5
Critico_Generoso_024,Phir Hera Pheri (2006),4.5
Critico_Generoso_024,"Town Called Panic, A (Panique au village) (2009)",4.5
Critico_Generoso_024,From the Hip (1987),5.0
Critico_Generoso_024,Ramona and Beezus (2010),4.5
Critico_Generoso_024,"Hudsucker Proxy, The (1994)",4.5
Critico_Generoso_024,Joe's Apartment (1996),3.5
Critico_Generoso_024,Munchies (1987),5.0
Critico_Generoso_024,Pirates of the Caribbean: Dead Men Tell No Tales (2017),4.0
Critico_Generoso_024,Hard Core Logo (1996),4.0
Critico_Generoso_024,Assassination (1987),4.0
Critico_Generoso_024,"Blue Angel, The (Blaue Engel, Der) (1930)",4.5
Critico_Generoso_024,Clue (1985),4.5
Critico_Generoso_024,"Mighty Ducks, The (1992)",4.5
Critico_Generoso_024,Melancholia (2011),5.0
Critico_Generoso_024,"Last Days, The (1998)",4.5
Critico_Generoso_024,"Big One, The (1997)",3.5
Critico_Generoso_024,You Will Meet a Tall Dark Stranger (2010),4.5
Critico_Generoso_024,Amadeus (1984),5.0
Critico_Generoso_024,"Island, The (2005)",4.0
Critico_Generoso_024,Saved! (2004),4.0
Critico_Generoso_024,"Pyromaniac's Love Story, A (1995)",4.5
Critico_Generoso_024,The Meyerowitz Stories (2017),4.0
Critico_Generoso_024,Absence of Malice (1981),4.0
Critico_Generoso_024,Volcano (1997),4.0
Critico_Generoso_024,Conspiracy Theory (1997),5.0
Critico_Generoso_024,Any Given Sunday (1999),4.0
Critico_Generoso_025,My Voyage to Italy (Il mio viaggio in Italia) (1999),5.0
Critico_Generoso_025,"Big Green, The (1995)",5.0
Critico_Generoso_025,My Name Is Bruce (2007),5.0
Critico_Generoso_025,"Karate Kid, Part III, The (1989)",4.0
Critico_Generoso_025,"Air I Breathe, The (2007)",4.5
Critico_Generoso_025,Snow White (1916),5.0
Critico_Generoso_025,Applesauce (2015),5.0
Critico_Generoso_025,Rapture-Palooza (2013),3.5
Critico_Generoso_025,Café Society (2016),5.0
Critico_Generoso_025,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse) (1933)",5.0
Critico_Generoso_025,Can't Stop the Music (1980),4.5
Critico_Generoso_025,Last Vegas (2013),4.5
Critico_Generoso_025,Brokedown Palace (1999),4.5
Critico_Generoso_025,Bride of Chucky (Child's Play 4) (1998),4.0
Critico_Generoso_025,Mogambo (1953),5.0
Critico_Generoso_025,"Limey, The (1999)",5.0
Critico_Generoso_025,Meet Joe Black (1998),4.0
Critico_Generoso_025,"Last Picture Show, The (1971)",4.5
Critico_Generoso_025,"Fearless Vampire Killers, The (1967)",3.5
Critico_Generoso_025,"It's a Mad, Mad, Mad, Mad World (1963)",5.0
Critico_Generoso_025,Down Periscope (1996),4.0
Critico_Generoso_025,Higher Learning (1995),4.0
Critico_Generoso_025,"Curse of the Jade Scorpion, The (2001)",5.0
Critico_Generoso_025,Jim Jefferies: I Swear to God (2009),4.0
Critico_Generoso_025,"Magnificent Seven, The (1960)",5.0
Critico_Generoso_025,Tusk (2014),4.0
Critico_Generoso_025,Porky in Wackyland (1938),4.5
Critico_Generoso_025,Just Cause (1995),5.0
Critico_Generoso_025,"Five Senses, The (1999)",4.5
Critico_Generoso_025,"Signal, The (2014)",4.0
Critico_Generoso_026,Burke and Hare (2010),4.5
Critico_Generoso_026,Flying Tigers (1942),4.0
Critico_Generoso_026,Transamerica (2005),4.0
Critico_Generoso_026,"Browning Version, The (1951)",4.5
Critico_Generoso_026,It Comes at Night (2017),3.5
Critico_Generoso_026,Avanti! (1972),4.0
Critico_Generoso_026,The Green Prince (2014),4.5
Critico_Generoso_026,Dinotopia (2002),3.5
Critico_Generoso_026,How to Succeed in Business Without Really Trying (1967),5.0
Critico_Generoso_026,Thumbelina (1994),5.0
Critico_Generoso_026,Nelly & Monsieur Arnaud (1995),4.0
Critico_Generoso_026,"Femme Nikita, La (Nikita) (1990)",4.0
Critico_Generoso_026,"Food, Inc. (2008)",5.0
Critico_Generoso_026,Pride and Prejudice (1940),4.5
Critico_Generoso_026,Benji (1974),3.5
Critico_Generoso_026,Indiana Jones and the Temple of Doom (1984),5.0
Critico_Generoso_026,99 francs (2007),4.5
Critico_Generoso_026,Avengers: Age of Ultron (2015),4.5
Critico_Generoso_026,Basquiat (1996),5.0
Critico_Generoso_026,Spider (2002),5.0
Critico_Generoso_026,"New Adventures of Pippi Longstocking, The (1988)",4.5
Critico_Generoso_026,Cube Zero (2004),5.0
Critico_Generoso_026,Frankenstein Unbound (1990),4.5
Critico_Generoso_026,84 Charing Cross Road (1987),4.5
Critico_Generoso_026,Disclosure (1994),4.5
Critico_Generoso_026,Melvin and Howard (1980),3.5
Critico_Generoso_026,Reservoir Dogs (1992),4.0
Critico_Generoso_026,Little Darlings (1980),4.0
Critico_Generoso_026,Runaway Bride (1999),4.0
Critico_Generoso_026,Rambo: First Blood Part II (1985),4.0
Critico_Generoso_027,Intolerable Cruelty (2003),5.0
Critico_Generoso_027,Herbie Goes Bananas (1980),4.5
Critico_Generoso_027,Best Seller (1987),4.5
Critico_Generoso_027,"Music Man, The (1962)",5.0
Critico_Generoso_027,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",3.5
Critico_Generoso_027,Ant-Man and the Wasp (2018),5.0
Critico_Generoso_027,Victoria (2015),3.5
Critico_Generoso_027,Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),4.0
Critico_Generoso_027,Mean Machine (2001),4.5
Critico_Generoso_027,Twin Dragons (Shuang long hui) (1992),4.0
Critico_Generoso_027,"Zed & Two Noughts, A (1985)",4.0
Critico_Generoso_027,Candleshoe (1977),3.5
Critico_Generoso_027,Think Like a Man (2012),5.0
Critico_Generoso_027,Under the Rainbow (1981),4.0
Critico_Generoso_027,Dragon: The Bruce Lee Story (1993),5.0
Critico_Generoso_027,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",5.0
Critico_Generoso_027,Ray (2004),4.5
Critico_Generoso_027,Begin Again (2013),4.5
Critico_Generoso_027,Office Christmas Party (2016),4.0
Critico_Generoso_027,Touch of Evil (1958),4.0
Critico_Generoso_027,20 Feet from Stardom (Twenty Feet from Stardom) (2013),4.0
Critico_Generoso_027,"Night to Remember, A (1958)",4.5
Critico_Generoso_027,Please Give (2010),4.5
Critico_Generoso_027,Friendly Persuasion (1956),4.0
Critico_Generoso_027,Broken English (1996),4.5
Critico_Generoso_027,Always (1989),4.5
Critico_Generoso_027,"Thing Called Love, The (1993)",4.0
Critico_Generoso_027,On the Other Side of the Tracks (De l'autre côté du périph) (2012),4.0
Critico_Generoso_027,Piranha (1978),3.5
Critico_Generoso_027,Salmon Fishing in the Yemen (2011),4.5
Critico_Generoso_028,Captain Underpants: The First Epic Movie (2017),4.0
Critico_Generoso_028,Made (2001),4.0
Critico_Generoso_028,PCU (1994),4.0
Critico_Generoso_028,"Bright Lights, Big City (1988)",4.5
Critico_Generoso_028,The Finest Hours (2016),3.5
Critico_Generoso_028,Malibu's Most Wanted (2003),5.0
Critico_Generoso_028,Son of Rambow (2007),4.0
Critico_Generoso_028,Ella Enchanted (2004),4.0
Critico_Generoso_028,"Fast & Furious (Fast and the Furious 4, The) (2009)",4.5
Critico_Generoso_028,When the Cat's Away (Chacun cherche son chat) (1996),4.5
Critico_Generoso_028,Perfect (1985),4.5
Critico_Generoso_028,Seven (a.k.a. Se7en) (1995),4.0
Critico_Generoso_028,"Pink Panther, The (1963)",4.0
Critico_Generoso_028,"Unvanquished, The (Aparajito) (1957)",5.0
Critico_Generoso_028,Greenfingers (2000),4.0
Critico_Generoso_028,Dawn of the Planet of the Apes (2014),4.0
Critico_Generoso_028,Kingsman: The Golden Circle (2017),4.5
Critico_Generoso_028,"Conformist, The (Conformista, Il) (1970)",4.0
Critico_Generoso_028,Pete's Dragon (1977),4.5
Critico_Generoso_028,High Heels and Low Lifes (2001),4.5
Critico_Generoso_028,Hear My Song (1991),4.5
Critico_Generoso_028,"Rescuers Down Under, The (1990)",3.5
Critico_Generoso_028,It's Complicated (2009),4.0
Critico_Generoso_028,Fantastic Four (2015),4.0
Critico_Generoso_028,In Good Company (2004),4.5
Critico_Generoso_028,Dinotopia (2002),4.0
Critico_Generoso_028,"I Love You, Man (2009)",4.0
Critico_Generoso_028,Analyze This (1999),4.5
Critico_Generoso_028,Pirates of the Caribbean: On Stranger Tides (2011),4.0
Critico_Generoso_028,Mom and Dad Save the World (1992),3.5
Critico_Generoso_029,Zathura (2005),4.5
Critico_Generoso_029,Videodrome (1983),4.0
Critico_Generoso_029,Slumber Party Massacre III (1990),5.0
Critico_Generoso_029,Fuzz (1972),5.0
Critico_Generoso_029,Baby Boy (2001),3.5
Critico_Generoso_029,Dawn of the Dead (1978),4.0
Critico_Generoso_029,Who's Harry Crumb? (1989),5.0
Critico_Generoso_029,Thank You for Smoking (2006),4.5
Critico_Generoso_029,West Side Story (1961),4.5
Critico_Generoso_029,Beastly (2011),4.5
Critico_Generoso_029,Carrie (1976),5.0
Critico_Generoso_029,Jack Reacher (2012),3.5
Critico_Generoso_029,White Christmas (1954),4.0
Critico_Generoso_029,Resident Evil: Retribution (2012),4.5
Critico_Generoso_029,Requiem for the American Dream (2015),5.0
Critico_Generoso_029,Beloved (1998),5.0
Critico_Generoso_029,Ex Drummer (2007),4.5
Critico_Generoso_029,Head Over Heels (2001),5.0
Critico_Generoso_029,UHF (1989),2.5
Critico_Generoso_029,Orlando (1992),4.0
Critico_Generoso_029,Personal Velocity (2002),5.0
Critico_Generoso_029,What About Bob? (1991),5.0
Critico_Generoso_029,Independence Day (a.k.a. ID4) (1996),5.0
Critico_Generoso_029,All About Lily Chou-Chou (Riri Shushu no subete) (2001),4.5
Critico_Generoso_029,Ring of Terror (1962),5.0
Critico_Generoso_029,Drive Hard (2014),4.0
Critico_Generoso_029,Doc Hollywood (1991),4.5
Critico_Generoso_029,Mad Max: Fury Road (2015),5.0
Critico_Generoso_029,Pee-wee's Big Adventure (1985),4.0
Critico_Generoso_029,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",4.0
Critico_Generoso_030,My Blueberry Nights (2007),4.5
Critico_Generoso_030,May (2002),5.0
Critico_Generoso_030,"Prairie Home Companion, A (2006)",3.0
Critico_Generoso_030,Operation 'Y' & Other Shurik's Adventures (1965),4.0
Critico_Generoso_030,Silent Running (1972),4.0
Critico_Generoso_030,Bad Words (2013),3.5
Critico_Generoso_030,Run All Night (2015),4.5
Critico_Generoso_030,Troy (2004),4.5
Critico_Generoso_030,Taxi (1998),4.0
Critico_Generoso_030,Career Opportunities (1991),4.5
Critico_Generoso_030,And Your Mother Too (Y tu mamá también) (2001),4.5
Critico_Generoso_030,Beowulf & Grendel (2005),4.5
Critico_Generoso_030,Rain Man (1988),4.5
Critico_Generoso_030,Big Trouble (2002),5.0
Critico_Generoso_030,"Bigger, Stronger, Faster* (2008)",4.5
Critico_Generoso_030,[REC]³ 3 Génesis (2012),4.5
Critico_Generoso_030,"Last Airbender, The (2010)",4.0
Critico_Generoso_030,Austenland (2013),3.5
Critico_Generoso_030,Chi-Raq (2015),4.5
Critico_Generoso_030,Stepmom (1998),4.5
Critico_Generoso_030,Pink Flamingos (1972),4.0
Critico_Generoso_030,Panic (2000),3.5
Critico_Generoso_030,"Thousand Acres, A (1997)",4.0
Critico_Generoso_030,Kind Hearts and Coronets (1949),4.0
Critico_Generoso_030,"Downfall (Untergang, Der) (2004)",5.0
Critico_Generoso_030,40 Days and 40 Nights (2002),3.5
Critico_Generoso_030,I Never Promised You a Rose Garden (1977),4.5
Critico_Generoso_030,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983),5.0
Critico_Generoso_030,"Wedding Banquet, The (Xi yan) (1993)",4.0
Critico_Generoso_030,Marius and Jeanette (Marius et Jeannette) (1997),4.5
Critico_Generoso_031,42 (2013),5.0
Critico_Generoso_031,Coco Before Chanel (Coco avant Chanel) (2009),3.5
Critico_Generoso_031,"Butcher Boy, The (1997)",4.0
Critico_Generoso_031,Bachelor Party (1984),4.5
Critico_Generoso_031,The Electric Hotel (1908),5.0
Critico_Generoso_031,Ghostbusters II (1989),5.0
Critico_Generoso_031,"Piano Teacher, The (La pianiste) (2001)",4.0
Critico_Generoso_031,Frequency (2000),5.0
Critico_Generoso_031,Written on the Wind (1956),5.0
Critico_Generoso_031,Man of the Year (1995),4.5
Critico_Generoso_031,Cake (2014),4.0
Critico_Generoso_031,Walk of Shame (2014),4.0
Critico_Generoso_031,Sorrow (2015),4.5
Critico_Generoso_031,Mr. Right (2016),3.5
Critico_Generoso_031,"Prince of Tides, The (1991)",4.0
Critico_Generoso_031,Evil Dead (2013),4.5
Critico_Generoso_031,Honey (2003),4.0
Critico_Generoso_031,Mary and Max (2009),4.0
Critico_Generoso_031,Willow (1988),4.0
Critico_Generoso_031,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",3.5
Critico_Generoso_031,21 Up (1977),4.5
Critico_Generoso_031,Maria Bamford: The Special Special Special! (2012),5.0
Critico_Generoso_031,Looper (2012),4.5
Critico_Generoso_031,Heavy Metal (1981),5.0
Critico_Generoso_031,Smokey and the Bandit (1977),4.5
Critico_Generoso_031,"Synecdoche, New York (2008)",4.0
Critico_Generoso_031,The Flash 2 - Revenge of the Trickster (1991),5.0
Critico_Generoso_031,Ghost Rider (2007),4.5
Critico_Generoso_031,"American Haunting, An (2005)",4.0
Critico_Generoso_031,Fatal Attraction (1987),3.5
Critico_Generoso_032,Half Nelson (2006),4.5
Critico_Generoso_032,"Darkman II: Return of Durant, The (1995)",5.0
Critico_Generoso_032,Joe's Apartment (1996),4.5
Critico_Generoso_032,Sonatine (Sonachine) (1993),4.5
Critico_Generoso_032,Dick Tracy (1990),5.0
Critico_Generoso_032,Akira (1988),5.0
Critico_Generoso_032,Sliding Doors (1998),4.0
Critico_Generoso_032,Kubo and the Two Strings (2016),4.5
Critico_Generoso_032,Tokyo Idols (2017),5.0
Critico_Generoso_032,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",4.5
Critico_Generoso_032,Maximum Ride (2016),4.5
Critico_Generoso_032,Red River (1948),5.0
Critico_Generoso_032,Guardians of the Galaxy 2 (2017),4.0
Critico_Generoso_032,Heartburn (1986),3.0
Critico_Generoso_032,Nebraska (2013),3.5
Critico_Generoso_032,Stoned (2005),4.0
Critico_Generoso_032,Another Thin Man (1939),4.5
Critico_Generoso_032,Wilbur Wants to Kill Himself (2002),4.0
Critico_Generoso_032,"Way We Were, The (1973)",4.5
Critico_Generoso_032,Dominion: Prequel to the Exorcist (2005),4.0
Critico_Generoso_032,Youth (2015),5.0
Critico_Generoso_032,"Chump at Oxford, A (1940)",4.5
Critico_Generoso_032,What Dreams May Come (1998),4.0
Critico_Generoso_032,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),4.5
Critico_Generoso_032,I Know What You Did Last Summer (1997),4.0
Critico_Generoso_032,"Conversation, The (1974)",4.5
Critico_Generoso_032,S.F.W. (1994),3.5
Critico_Generoso_032,Bungo Stray Dogs: Dead Apple (2018),4.5
Critico_Generoso_032,American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),3.5
Critico_Generoso_032,I Capture the Castle (2003),5.0
Critico_Generoso_033,Nothing in Common (1986),4.5
Critico_Generoso_033,"Pirates! Band of Misfits, The (2012)",5.0
Critico_Generoso_033,The African Doctor (2016),3.5
Critico_Generoso_033,"Crazies, The (2010)",4.5
Critico_Generoso_033,Pornstar: The Legend of Ron Jeremy (2001),3.5
Critico_Generoso_033,Mayhem (2017),5.0
